2,363408158,471,985,557,3
0,225016786,284,132,138,2
8,029248045,088,885,934,0
2,225016786,551,190,564,9
4,770364209,913,912,069,5
7,225016786,901,149,306,0
1,029248045,700,916,791,8
1,375881856,358,231,520,9
3,309984251,193,313,077,6
6,363836483,979,230,305,3
0,450716547,056,490,673,8
8,823943162,610,636,873,4
8,247465730,729,168,841,3
4,657765013,549,698,183,7
0,657765013,268,451,122,3
6,212345184,102,530,712,2
1,247465730,132,872,526,6
9,657765013,253,483,167,1
2,160544075,640,546,295,2
8,657765013,046,843,102,5
